"Börsdata ID","Bolagsnamn","ROIC - Senaste","Nettoskuld - Senaste","EV/EBIT - Senaste","EV/FCF - Senaste","Capex - Per Aktie","P/B - Senaste","PEG - Senaste","Börsvärde - Senaste","RSI - RSI(14)","MA -  5/20","MA -  50/200","Kursutveck. - Utveck.  1m"
"1695","NCAB Group","11,2%","23%","27,4","146,0","-1,51","6,8","-1,0","9816","47,3","1,2%","-14,3%","8,5%"
"1623","NCC A","12,4%","4%","9,8","5,0","-6,67","2,2","-63,4","19054","48,3","0,2%","13,8%","-2,6%"
"151","NCC B","12,4%","4%","9,8","5,0","-6,67","2,2","-63,5","19104","49,9","-0,0%","13,7%","-1,8%"
"152","Nederman","7,7%","23%","15,2","29,9","-8,39","2,7","17,2","7346","43,1","-3,3%","-0,8%","-6,1%"
"48","Nelly Group","27,1%","7%","11,5","8,1","-0,75","4,3","0,0","1028","51,7","0,4%","19,9%","1,4%"
"2503","Neobo Fastigheter","1,0%","50%","60,7","84,7","0,13","0,4","6,9","2260","45,1","-0,3%","-18,1%","-7,6%"
"1975","Neola Medical","-20,4%","-27%","-16,1","-7,9","-0,16","2,8",,"215","60,6","1,7%","-1,1%","21,1%"
"2542","Neovici Holding B","-74,9%","6%","-11,8","-12,9","-0,43","10,2",,"311","50,8","-2,6%",,"-4,1%"
"1081","Nepa","-6,3%","-26%","-42,4","10,0","-0,41","2,2",,"165","41,9","-1,2%","0,1%","-2,3%"
"154","Net Insight","16,5%","-26%","17,7","56,1","-0,30","2,5","1,2","1628","37,3","-1,0%","-13,7%","-4,2%"
"2281","Netel Holding","-2,5%","25%","9,0","-12,7","-3,38","0,5",,"560","37,0","-2,5%","-24,3%","-9,4%"
"322","NetJobs","1301,0%","-86%","0,6","0,6","0,10","1,5","0,0","18","60,9","-0,4%","17,7%","22,8%"
"323","New Nordic Healthbrands","-8,8%","10%","-24,5","-11,9","-0,62","0,8",,"85","25,4","-5,2%","-7,2%","-16,5%"
"155","New Wave","9,7%","16%","12,1","15,5","-2,25","1,9","-0,7","13428","45,1","-1,8%","-0,1%","-7,6%"
"2361","Newbury Pharmaceuticals","-44,6%","-22%","-3,9","-4,1","-0,05","1,7",,"79","44,9","0,4%","-3,2%","-0,9%"
"371","Nexam Chemical","-4,5%","8%","-37,2","-119,1","-0,12","1,4",,"254","40,3","-3,2%","-12,2%","-15,4%"
"1468","Nexar Group","-898,0%","-4%","-6,5","-7,6",,"16,1",,"40","52,3","-5,5%","99,6%","-0,7%"
"1483","NextCell Pharma","-136,7%","-49%","-4,2","-4,3","0,00","3,5",,"209","43,3","-7,1%","49,6%","-19,2%"
"558","NFO Drives","-110,6%","-54%","-39,3","-42,7",,"4,0",,"65","44,0","-10,9%","-19,8%","-13,8%"
"2185","Ngenic",,"-1%","-0,0","-0,0","-0,47","-0,1",,"16","34,5","-6,1%","-87,8%","-30,3%"
"540","NGS Group","-75,9%","-2%","-1,0","-3,6",,"0,8",,"77","47,1","-1,7%","-0,6%","-8,8%"
"156","NIBE Industrier","2,4%","27%","35,3","81,3","-1,41","2,3","-0,9","75240","32,2","-7,8%","-7,4%","-7,3%"
"415","Nicoccino","-55,1%","-1%","-7,8","-8,5","-0,00","3,8",,"62","64,4","15,9%","-13,4%","25,0%"
"925","Nilsson Special Vehicles","-31,8%","7%","-4,6","-2,7","-0,19","3,0",,"14","49,0","-2,9%","-24,7%","-11,8%"
"758","Nilörngruppen","21,1%","-3%","8,2","9,5","-2,02","2,0","0,2","700","36,4","-2,0%","-1,8%","-9,7%"
"2075","Nimbus","-4,5%","12%","-10,5","-6,0","-1,88","0,3",,"684","41,0","-2,4%","-12,8%","-4,5%"
"1479","Nitro Games","14,7%","13%","6,9","-6,8","-0,05","1,5","0,1","40","42,0","-1,7%","-13,3%","-14,3%"
"2312","Niutech Group","-79,8%","23%","-0,8","-0,8","-0,03","0,2",,"11","39,8","-34,1%","-72,1%","-50,0%"
"2326","Nivika Fastigheter","1,3%","45%","46,8","-35,6","-8,29","0,7","1,0","3912","55,8","1,5%","-4,6%","2,8%"
"157","Nobia","-13,3%","39%","-8,6","7,6","1,08","0,5",,"2310","27,0","-9,2%","-11,3%","-12,8%"
"2486","Nodebis Applications","2,5%","-10%","89,1","28,5","-0,61","1,2","0,2","116","72,5","11,5%","8,0%","23,8%"
"249","Nokia","8,1%","-10%","11,0","9,2","-0,02","1,3","0,1","303389","56,7","-0,5%","11,9%","4,7%"
"158","Nolato","9,3%","11%","18,3","22,6","-2,36","2,7","0,5","15651","45,0","-1,6%","6,4%","-5,0%"
"1915","Nord Insuretech","-756,1%","43%","-3,1","-4,2","-0,12","11,0",,"86","55,9","-1,8%","-20,1%","-12,5%"
"159","Nordea Bank","0,9%",,"5,9","-19,4","-0,83","1,2","1,6","444041","31,1","-6,0%","7,8%","-9,9%"
"2336","Nordic Asia","0,3%","-3%","717,1","78,1","0,06","0,7","2,6","81","51,4","0,9%","-8,5%","0,4%"
"354","Nordic Flanges","-56,3%","23%","-4,3","-18,3","1,67","1,0",,"30","39,9","-1,0%","-19,6%","0,0%"
"1742","Nordic Iron Ore","-9,3%","-28%","-18,4","-17,2","-0,05","1,3",,"346","45,8","-3,9%","8,9%","-5,6%"
"277","Nordic LEVEL","-2,7%","2%","-14,1","-10,7","-0,09","0,6",,"121","46,6","3,1%","-18,1%","-3,7%"
"2008","Nordic Paper","34,9%","29%","6,7","-25,4","-7,64","2,3","0,6","3154","28,4","-3,5%","-3,3%","-6,1%"
"2279","Nordisk Bergteknik","0,4%","42%","20,0","12,5","-2,72","0,5","-0,9","638","31,8","-5,1%","-15,4%","-14,8%"
"2298","Norditek","3,7%","22%","17,3","14,5","-0,07","1,7","0,0","130","50,7","2,3%","4,6%","-5,5%"
"161","Nordnet","1,0%",,"17,3","22,5","-13,70","7,6","2,2","60565","49,0","-0,7%","6,0%","-1,2%"
"2526","Nordrest","131,4%","-18%","9,6","14,3","-3,26","11,3","0,3","1658","56,3","-0,3%","2,7%","12,9%"
"740","Norion Bank","1,9%",,"4,6","-30,6","-0,68","0,8","5,2","7342","42,2","-8,2%","-3,8%","-12,8%"
"308","Northbaze","-15,0%","-2%","-10,4","1,0","-0,06","0,4",,"57","50,6","-3,0%","-12,5%","5,0%"
"1956","Northern CapSek","-5,7%",,"-0,5","-0,3","-0,11","0,1",,"11","41,6","-11,3%","-40,8%","-24,6%"
"2375","Northgold","-19,3%","-4%","-1,7","-1,5","-0,00","0,4",,"15","54,2","-0,1%","-45,6%","-2,3%"
"2327","Norva24","4,7%","31%","29,4","41,3","-2,52","3,0","-1,8","6622","80,8","5,6%","-1,7%","45,9%"
"1369","Nosa Plugs","-81,5%","-16%","-15,4","-10,8","-0,02","9,8",,"162","46,0","0,6%","16,8%","-6,4%"
